Unidad,Ultima_actualizacion,Eventos_pendientes,Status_pendientes,Actualizacion_json_eventos,Actualizacion_json_status
2000,2023-10-02 12:34:57,0,0,null,null
2001,2023-10-17 18:16:04,0,0,null,null
2003,2024-01-30 12:52:46,1,0,2024-01-30 12:52:42,2024-01-30 12:48:14
2004,null,0,0,null,null
2005,2024-01-30 12:14:20,0,1,2024-01-30 12:13:50,2024-01-30 12:14:18
2006,2024-01-30 12:40:32,1,0,2024-01-30 12:38:56,2024-01-30 12:38:54
3002,2024-01-30 11:33:37,0,2,null,2024-01-30 11:33:27
3003,2023-12-22 17:15:23,0,0,null,null
3004,2023-09-24 14:09:07,0,0,null,null
3005,2024-01-30 10:12:27,1,0,2024-01-30 10:12:24,2024-01-30 10:11:56
3006,2023-10-20 12:36:28,0,0,null,null
3007,2023-11-03 08:17:11,0,0,null,null
3500,2023-12-30 20:24:55,0,0,null,null
6023,2024-01-29 12:10:53,1,0,2024-01-29 12:09:35,2024-01-29 11:50:34
6029,2024-01-30 10:29:12,1,0,2024-01-30 10:27:57,2024-01-30 10:19:51
6031,2023-12-30 20:31:14,0,0,null,null
6032,2024-01-29 20:42:37,1,0,2024-01-29 20:42:32,2024-01-29 20:39:45
6038,2024-01-30 13:32:09,1,0,2024-01-30 13:30:42,2024-01-30 13:13:54
6039,2024-01-30 10:46:58,1,0,2024-01-30 10:46:33,2024-01-30 10:44:34
6040,2024-01-11 13:06:53,1,44,null,null
6045,2024-01-30 13:25:10,1,0,2024-01-30 13:25:03,2024-01-30 13:04:38
6047,2024-01-27 23:10:09,1,0,2024-01-27 23:10:05,2024-01-27 22:55:34
6049,2024-01-30 09:51:36,1,0,2024-01-30 09:48:59,2024-01-30 09:34:35
6051,2024-01-30 10:55:11,1,0,2024-01-30 10:55:07,2024-01-30 10:54:47
6053,2024-01-30 07:39:59,1,0,2024-01-30 07:39:55,2024-01-30 07:25:42
6100,2024-01-13 10:52:54,1,1,null,null
6101,2024-01-30 13:21:02,0,3,2024-01-30 10:21:33,2024-01-30 13:20:52
6102,2024-01-29 17:09:14,0,75,2024-01-25 13:38:03,2024-01-23 09:34:13
6103,2023-11-30 00:53:29,0,0,null,null
6104,2024-01-30 11:34:18,1,0,2024-01-30 11:34:13,2024-01-30 11:14:52
6105,2024-01-30 12:09:50,1,0,2024-01-30 12:09:46,2024-01-30 12:06:59
6106,2024-01-26 12:23:32,1,0,2024-01-26 12:15:31,2024-01-26 11:24:34
6107,2024-01-30 10:42:15,1,0,2024-01-30 10:42:10,2024-01-30 10:31:36
6108,2024-01-28 08:25:08,1,0,2024-01-28 08:24:51,2024-01-28 08:22:17
6109,2024-01-29 12:20:39,136,139,2024-01-16 07:40:39,null
8400,2024-01-30 13:33:05,1,0,2024-01-30 13:32:49,2024-01-30 13:05:03
8401,2024-01-30 11:08:55,920,970,2024-01-30 05:09:07,2024-01-27 17:49:35
8402,2024-01-30 13:09:51,1,0,2024-01-30 13:09:44,2024-01-30 12:43:35
8403,2024-01-30 13:33:51,8,99,2024-01-30 10:53:33,2024-01-30 08:21:56
8404,2024-01-30 11:57:13,1,0,2024-01-30 11:57:09,2024-01-30 10:51:29
8405,2024-01-09 01:05:06,1,0,null,null
8406,2024-01-30 13:33:43,1,0,2024-01-30 13:31:54,2024-01-30 13:27:45
8407,2023-12-22 05:38:21,0,0,null,null
8408,2024-01-29 22:15:13,1,0,2024-01-29 22:15:11,2024-01-29 22:04:01
8409,2024-01-30 13:29:36,1,0,2024-01-30 13:29:30,2024-01-30 13:28:43
8410,2024-01-30 13:33:26,1,0,2024-01-30 13:32:45,2024-01-30 13:32:33
8411,2024-01-30 13:32:16,1,0,2024-01-30 13:30:00,2024-01-30 12:50:06
8412,2024-01-30 12:35:11,0,1,2024-01-30 12:30:12,2024-01-30 12:34:14
8413,2024-01-30 13:32:48,1,0,2024-01-30 13:32:18,2024-01-30 12:59:36
8414,2024-01-30 13:33:44,1,0,2024-01-30 13:33:21,2024-01-30 13:29:06
8415,null,0,1,2024-01-26 17:25:43,2024-01-26 18:29:49
8416,2024-01-30 13:33:51,1,0,2024-01-30 13:33:13,2024-01-30 13:06:45
8417,2024-01-30 13:33:46,1,0,2024-01-30 13:30:16,2024-01-30 12:52:09
8418,2024-01-30 13:22:16,1,0,2024-01-30 13:18:28,2024-01-30 13:13:18
8419,2024-01-30 12:40:32,1,0,2024-01-30 12:39:14,2024-01-30 12:24:35
8600,2024-01-30 13:10:02,1,0,2024-01-30 13:03:56,2024-01-30 12:17:37
8915,2024-01-29 00:59:03,1,0,2024-01-29 00:59:00,2024-01-29 00:58:45
8916,2024-01-30 13:07:34,1,0,2024-01-30 13:02:19,2024-01-30 12:49:08
8917,2024-01-30 13:32:16,1,0,2024-01-30 13:31:44,2024-01-30 12:33:25
8918,2024-01-30 13:33:39,1,0,2024-01-30 13:24:23,2024-01-30 13:09:48
8919,2023-11-21 13:09:07,0,0,null,null
8920,2023-12-24 10:15:51,0,0,null,null
8921,2023-12-26 18:04:59,0,0,null,null
8922,2024-01-16 00:19:58,1,0,null,null
9154,2024-01-30 13:03:04,1,0,2024-01-30 13:02:47,2024-01-30 12:56:27
9160,2024-01-29 06:21:39,1,0,2024-01-29 06:21:19,2024-01-29 06:12:02
9176,2023-12-22 17:58:16,0,0,null,null
9194,2024-01-27 14:35:31,1,2,2024-01-27 14:34:22,2024-01-27 14:33:52
9200,2024-01-30 10:06:01,1,0,2024-01-30 09:45:28,2024-01-30 09:42:17
9202,2023-12-14 16:48:38,0,0,null,null
9204,2024-01-01 12:29:06,0,0,null,null
9210,2024-01-08 16:32:45,1,0,null,null
9228,2024-01-01 21:11:24,0,0,null,null
9238,2024-01-14 20:16:24,1,0,null,null
9240,2023-12-30 17:08:44,0,0,null,null
9244,2023-12-02 16:07:34,0,0,null,null
9246,2024-01-26 10:19:02,1,0,2024-01-26 10:18:57,2024-01-26 10:02:41
9248,2024-01-26 11:38:20,1,0,2024-01-26 11:38:15,2024-01-26 11:15:02
9250,2023-12-08 22:43:51,0,0,null,null
9252,2023-12-01 16:34:59,0,0,null,null
9254,2024-01-30 09:13:09,1,0,2024-01-30 09:13:05,2024-01-30 08:58:56
9256,2024-01-30 12:19:43,0,1,null,2024-01-30 12:19:41
9258,2024-01-30 09:57:50,0,1,2024-01-30 07:57:03,2024-01-30 09:57:47
9268,2024-01-29 04:22:34,1,0,2024-01-29 04:22:20,2024-01-29 02:26:00
9270,2024-01-28 07:56:51,1,0,2024-01-28 07:56:44,2024-01-28 07:33:43
9282,2024-01-27 05:27:07,5,21,2024-01-27 04:51:10,2024-01-27 04:42:48
9284,2024-01-28 17:23:53,1,0,2024-01-28 17:23:42,2024-01-28 17:06:02
9285,2024-01-30 12:53:00,1,0,2024-01-30 12:52:56,2024-01-30 12:46:01
9300,2024-01-29 16:24:15,1,0,2024-01-29 16:24:11,2024-01-29 16:22:34
9301,2024-01-30 11:30:48,1,0,2024-01-30 11:14:51,2024-01-30 10:42:29
9302,2024-01-30 11:22:01,1,0,2024-01-30 11:21:39,2024-01-30 11:02:22
9303,2023-11-27 12:18:58,0,0,null,null
9304,2024-01-17 16:54:02,1,2,null,null
9305,2024-01-30 11:04:44,318,0,2024-01-28 09:46:48,2024-01-30 10:55:38
9306,2024-01-30 13:32:54,1,0,2024-01-30 13:26:01,2024-01-30 11:57:44
9307,2024-01-30 10:51:52,1,0,2024-01-30 10:51:48,2024-01-30 10:46:42
9308,2024-01-28 09:11:35,1,0,2024-01-28 09:08:13,2024-01-28 07:16:15
9309,2024-01-28 09:15:35,1,0,2024-01-28 09:15:24,2024-01-28 08:57:02
9310,2024-01-30 10:07:57,1,0,2024-01-30 09:22:49,2024-01-30 10:04:58
9311,2024-01-27 14:25:54,0,1,2024-01-27 14:00:34,2024-01-27 14:25:33
9312,2024-01-21 20:16:40,1,0,2024-01-21 20:16:31,null
9313,2024-01-25 21:17:07,1,0,2024-01-25 21:09:41,2024-01-25 20:54:26
9314,2024-01-29 12:48:09,1,0,2024-01-29 12:47:53,2024-01-29 12:35:12
9315,2024-01-13 04:45:43,0,0,null,null
9316,2024-01-25 00:21:06,0,1,2024-01-24 22:21:45,2024-01-25 00:21:04
9317,2024-01-25 18:45:56,1,0,2024-01-25 18:45:35,2024-01-25 18:21:58
9318,2024-01-29 17:22:39,1,0,2024-01-29 17:22:33,2024-01-29 17:20:45
